#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J052941.92+273400.5	82.424667	27.566833	13.097	0.026	13.662	0.035	13.485	0.034	I	CBe	-
J052831.75+271146.6	82.132292	27.196278	13.154	0.026	13.650	0.031	13.406	0.032	I	CBe	-
J055951.56+142840.2	89.964846	14.477839	12.662	0.024	13.060	0.026	12.904	0.027	I	CBe	-
J060021.62+153835.9	90.090089	15.643326	12.771	0.024	13.013	0.024	12.945	0.023	I	CBe	-
J055120.98+165215.1	87.837429	16.870872	11.745	0.024	12.256	0.019	12.078	0.021	I	CBe	Emission-lineStar
J055838.48+151404.7	89.660353	15.234656	12.547	0.025	12.763	0.023	12.664	0.023	I	CBe	-
J060021.62+153835.9	90.090089	15.643326	12.771	0.024	13.013	0.024	12.945	0.023	I	CBe	-
J050047.41+225152.7	75.197557	22.864643	9.213	0.023	9.615	0.019	9.511	0.017	I	CBe	Star
J063432.90+015513.7	98.637124	1.9204795	9.898	0.023	10.448	0.026	10.132	0.024	I	CBe	-
J062753.84+003329.1	96.974337	0.558086	8.503	0.022	9.010	0.023	8.814	0.021	I	CBe	Star
J062636.02+042035.6	96.650097	4.3432382	10.812	0.023	11.172	0.022	11.008	0.019	I	CBe	-
J063432.90+015513.7	98.637124	1.9204795	9.898	0.023	10.448	0.026	10.132	0.024	I	CBe	-
J054704.20+295046.8	86.76752	29.846339	14.471	0.034	14.546	0.049	14.443	0.060	I	CBe	-
J054252.84+325435.4	85.720208	32.909861	11.724	0.024	12.107	0.022	11.937	0.020	I	CBe	Emission-lineStar
J053337.26+315001.0	83.405252	31.833633	11.308	0.024	11.844	0.020	11.578	0.020	I	CBe	-
J054153.95+323613.1	85.474792	32.603639	11.865	0.024	12.532	0.022	12.225	0.020	I	CBe	Emission-lineStar
J042058.56+340346.9	65.244039	34.063055	13.680	0.026	13.991	0.031	13.905	0.036	I	CBe	-
J055352.81+222544.5	88.470081	22.429046	11.247	0.024	11.716	0.021	11.386	0.019	I	CBe	-
J054538.09+185753.7	86.408732	18.964933	9.023	0.024	9.500	0.024	9.484	0.022	I	CBe	Emission-lineStar
J042053.25+494407.3	65.221888	49.735374	11.752	0.022	12.065	0.031	11.941	0.028	I	CBe	-
J055352.81+222544.5	88.470081	22.429046	11.247	0.024	11.716	0.021	11.386	0.019	I	CBe	-
J055047.50+235938.2	87.697927	23.993959	11.188	0.023	11.637	0.023	11.403	0.019	I	CBe	-
J055931.26+232242.7	89.880254	23.378553	8.434	0.022	9.245	0.028	8.872	0.021	I	CBe	Emission-lineStar
J055304.96+252606.6	88.270687	25.435171	10.230	0.022	10.793	0.024	10.611	0.018	I	CBe	Emission-lineStar
J055233.63+254550.6	88.140152	25.764075	7.860	0.025	8.910	0.046	8.510	0.021	I	CBe	Emission-lineStar
J051415.94+334119.1	78.566446	33.688643	11.279	0.024	11.791	0.032	11.627	0.024	I	CBe	Emission-lineStar
J050543.34+353110.7	76.430598	35.519661	9.028	0.023	9.068	0.031	8.861	0.023	I	CBe	Emission-lineStar
J045718.57+341617.9	74.327409	34.271648	10.966	0.023	11.416	0.016	11.234	0.017	I	CBe	-
J043001.13+351724.7	67.504748	35.290203	9.004	0.026	9.682	0.021	9.272	0.018	I	CBe	Emission-lineStar
J043839.74+372059.3	69.66561	37.349817	12.181	0.024	12.792	0.026	12.654	0.026	I	CBe	-
J121300.52+104935.8	183.2521908	10.826634	13.607	0.026	13.986	0.040	13.865	0.061	I	CBe	-
J061658.93+251525.8	94.245542	25.257194	12.323	0.024	12.636	0.023	12.489	0.024	I	CBe	-
J061658.92+251525.8	94.245504	25.257169	12.323	0.024	12.636	0.023	12.489	0.024	I	CBe	-
J080054.17+171333.6	120.22573	17.226011	12.114	0.023	12.271	0.023	12.194	0.025	I	CBe	-
J050751.59+402125.2	76.964961	40.35702	12.173	0.024	12.474	0.024	12.350	0.023	I	CBe	-
J050405.13+384836.3	76.021383	38.8101	10.828	0.023	11.243	0.021	11.155	0.018	I	CBe	-
J050252.27+402935.3	75.717809	40.493147	11.585	0.023	12.363	0.021	12.124	0.024	I	CBe	Emission-lineStar
J050715.79+402554.4	76.81581	40.431805	9.954	0.023	10.294	0.021	10.211	0.018	I	CBe	Emission-lineStar
J045518.02+413721.8	73.825084	41.62273	8.519	0.023	9.385	0.033	9.008	0.016	I	CBe	Emission-lineStar
J055336.52+401846.2	88.402194	40.312859	9.675	0.024	10.159	0.028	9.949	0.022	I	CBe	Emission-lineStar
J055336.52+401846.2	88.402194	40.312859	9.675	0.024	10.159	0.028	9.949	0.022	I	CBe	Emission-lineStar
J050715.79+402554.4	76.81581	40.431805	9.954	0.023	10.294	0.021	10.211	0.018	I	CBe	Emission-lineStar
J052102.35+394935.2	80.259821	39.826449	9.284	0.022	9.730	0.022	9.577	0.020	I	CBe	Emission-lineStar
J050751.59+402125.2	76.964961	40.35702	12.173	0.024	12.474	0.024	12.350	0.023	I	CBe	-
J055625.42+280023.4	89.105945	28.006514	10.974	0.024	11.744	0.027	11.434	0.023	I	CBe	-
J055546.16+305126.4	88.942339	30.857346	10.997	0.023	10.893	0.031	10.673	0.022	I	CBe	Star
J055812.34+274333.7	89.551419	27.726055	10.379	0.023	10.490	0.022	10.279	0.018	I	CBe	Emission-lineStar
J060624.88+284341.7	91.603677	28.728266	10.788	0.023	11.041	0.023	10.866	0.020	I	CBe	-
J060556.50+280124.8	91.485432	28.023576	11.627	0.023	12.189	0.020	12.040	0.020	I	CBe	Emission-lineStar
J054854.69+294923.2	87.227896	29.823128	9.918	0.024	10.660	0.021	10.405	0.017	I	CBe	Emission-lineStar
J055732.09+302255.1	89.383742	30.38199	10.395	0.023	10.935	0.033	10.804	-	I	CBe	-
J055926.02+271328.8	89.858458	27.224667	13.102	0.026	13.371	0.030	13.249	0.029	I	CBe	-
J054837.63+281710.2	87.156833	28.286194	12.129	0.023	12.689	0.019	12.377	0.020	I	CBe	-
J055350.95+293652.8	88.462333	29.614694	11.900	0.023	12.313	0.024	12.133	0.020	I	CBe	-
J055428.68+293310.6	88.6195	29.552972	12.133	0.023	12.464	0.022	12.263	0.021	I	CBe	-
J054837.63+281710.2	87.156833	28.286194	12.129	0.023	12.689	0.019	12.377	0.020	I	CBe	-
J071202.14+322641.3	108.00894	32.444833	13.984	0.027	14.189	0.049	14.186	0.061	I	CBe	-
J034920.48+560219.4	57.335337	56.038741	10.738	0.024	10.385	0.024	10.175	0.020	I	CBe	-
J034231.13+564651.7	55.629742	56.781053	10.699	0.022	11.332	0.021	11.034	0.017	I	CBe	-
