#designation	ra	dec	Fe_type
J064419.79+365728.5	101.08248	36.957932	double-peak
J060250.30+235942.2	90.709624	23.995056	unclassify
J054630.27+222454.4	86.626166	22.415115	unclassify
J061433.46+225940.2	93.639458	22.9945	double-peak
J061442.17+351305.4	93.675712	35.218193	unclassify
J035649.65+460947.2	59.206875	46.16312	single-peak
J035803.39+470904.3	59.51414	47.151203	double-peak
J041740.38+472105.5	64.418259	47.351544	unclassify
J035358.25+465351.8	58.492717	46.897724	double-peak
J035649.65+460947.2	59.206875	46.16312	single-peak
J041641.14+430425.1	64.171447	43.073645	double-peak
J041235.92+420658.2	63.149671	42.116187	unclassify
J043000.64+422259.6	67.502696	42.383247	double-peak
J061756.59+460351.6	94.485827	46.064353	double-peak
J054319.45+231229.1	85.831068	23.208101	double-peak
J054320.64+231224.3	85.836032	23.206757	single-peak
J061950.14+221607.6	94.958958	22.268778	unclassify
J061658.93+251525.8	94.245542	25.257194	double-peak
J060953.68+130012.9	92.47369	13.003587	single-peak
J060859.74+150707.9	92.248936	15.118883	unclassify
J061658.84+132601.3	94.245191	13.433701	double-peak
J060752.80+145455.1	91.970009	14.91531	unclassify
J060953.68+130012.9	92.47369	13.003587	single-peak
J055820.80+225246.0	89.586701	22.879454	unclassify
J055941.63+240412.0	89.923496	24.070006	unclassify
J042536.93+344356.4	66.403882	34.732352	double-peak
J061442.17+351305.4	93.675712	35.218193	double-peak
J061239.82+325817.8	93.165937	32.971625	double-peak
J055538.02+255133.5	88.908458	25.859306	single-peak
J024533.84+530810.7	41.391004	53.136306	double-peak
J030237.87+523204.3	45.657832	52.534528	single-peak
J025104.44+553018.0	42.76854	55.505016	double-peak
J025215.95+554234.1	43.066483	55.70949	double-peak
J030027.65+540005.1	45.1152445	54.0014171	double-peak
J025952.12+541513.8	44.9671796	54.2538526	double-peak
J025158.40+570147.2	42.993374	57.029799	single-peak
J051313.27+314636.0	78.305311	31.776689	unclassify
J051233.64+334046.0	78.140172	33.679454	unclassify
J053615.79+242607.0	84.065792	24.435278	unclassify
J055625.42+280023.4	89.105945	28.006514	double-peak
J055339.78+284729.7	88.415777	28.791592	double-peak
J060556.50+280124.8	91.485432	28.023576	unclassify
J051116.32+362648.1	77.818014	36.446696	unclassify
J052314.90+374253.6	80.812104	37.714905	double-peak
J054733.01+521148.5	86.88757	52.196816	single-peak
J043655.53+535233.8	69.231408	53.876064	single-peak
J043244.08+554120.1	68.183672	55.688919	double-peak
J044253.74+463834.1	70.723924	46.642821	double-peak
J062531.59+200550.4	96.381632	20.097357	single-peak
J062932.05+210458.8	97.383567	21.08301	unclassify
